Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,January  ,Scotland,Scotland,Mid Lothian,Non Dairy,BAZADAISE,M,Birth Application,2
2015,January  ,Scotland,Scotland,Kincardine,Non Dairy,BAZADAISE X,F,Birth Application,1
2015,January  ,Scotland,Scotland,West Lothian,Non Dairy,BAZADAISE X,F,Birth Application,5
2015,January  ,Scotland,Scotland,West Lothian,Non Dairy,BAZADAISE X,M,Birth Application,4
2015,January  ,Scotland,Scotland,Mid Lothian,Non Dairy,BAZADAISE X,M,Birth Application,4
2015,January  ,Scotland,Scotland,Mid Lothian,Non Dairy,BAZADAISE X,F,Birth Application,2
2015,January  ,Scotland,Scotland,Kincardine,Non Dairy,BAZADAISE X,M,Birth Application,1
2015,January  ,Scotland,Scotland,Sutherland,Non Dairy,BEEF SHORTHORN,M,Birth Application,1
2015,January  ,Scotland,Scotland,Ross and Cromarty,Non Dairy,BEEF SHORTHORN,F,Birth Application,1
2015,January  ,Scotland,Scotland,Perth,Non Dairy,BEEF SHORTHORN,F,Birth Application,1
2015,January  ,Scotland,Scotland,Roxburgh,Non Dairy,BEEF SHORTHORN,F,Birth Application,6
2015,January  ,Scotland,Scotland,Perth,Non Dairy,BEEF SHORTHORN,M,Birth Application,1
2015,January  ,Scotland,Scotland,Peebles,Non Dairy,BEEF SHORTHORN,F,Birth Application,1
2015,January  ,Scotland,Scotland,Moray,Non Dairy,BEEF SHORTHORN,F,Birth Application,1
2015,January  ,Scotland,Scotland,Berwick,Non Dairy,BEEF SHORTHORN,F,Birth Application,1
2015,January  ,Scotland,Scotland,Kirkcudbright,Non Dairy,BEEF SHORTHORN,F,Birth Application,1
2015,January  ,Scotland,Scotland,Fife,Non Dairy,BEEF SHORTHORN,F,Birth Application,1
2015,January  ,Scotland,Scotland,Orkney,Non Dairy,BEEF SHORTHORN,M,Birth Application,2
2015,January  ,Scotland,Scotland,Fife,Non Dairy,BEEF SHORTHORN,M,Birth Application,3
2015,January  ,Scotland,Scotland,Mid Lothian,Non Dairy,BEEF SHORTHORN,F,Birth Application,1
2015,January  ,Scotland,Scotland,Ross and Cromarty,Non Dairy,BEEF SHORTHORN,M,Birth Application,2
2015,January  ,Scotland,Scotland,Orkney,Non Dairy,BEEF SHORTHORN,F,Birth Application,4
2015,January  ,Scotland,Scotland,Renfrew,Non Dairy,BEEF SHORTHORN,M,Birth Application,1
2015,January  ,Scotland,Scotland,Ayr,Non Dairy,BEEF SHORTHORN,F,Birth Application,2
2015,January  ,Scotland,Scotland,Dumfries,Non Dairy,BEEF SHORTHORN,M,Birth Application,9
2015,January  ,Scotland,Scotland,Dumfries,Non Dairy,BEEF SHORTHORN,F,Birth Application,7
2015,January  ,Scotland,Scotland,Inverness,Non Dairy,BEEF SHORTHORN,F,Birth Application,2
2015,January  ,Scotland,Scotland,Angus,Non Dairy,BEEF SHORTHORN,F,Birth Application,2
2015,January  ,Scotland,Scotland,Aberdeen,Non Dairy,BEEF SHORTHORN,M,Birth Application,2
2015,January  ,Scotland,Scotland,Lanark,Non Dairy,BEEF SHORTHORN,F,Birth Application,3
2015,January  ,Scotland,Scotland,Fife,Non Dairy,BEEF SHORTHORN X,M,Birth Application,1
2015,January  ,Scotland,Scotland,Banff,Non Dairy,BEEF SHORTHORN X,M,Birth Application,2
2015,January  ,Scotland,Scotland,Ross and Cromarty,Non Dairy,BEEF SHORTHORN X,M,Birth Application,3
2015,January  ,Scotland,Scotland,Clackmannan,Non Dairy,BEEF SHORTHORN X,M,Birth Application,6
2015,January  ,Scotland,Scotland,Aberdeen,Non Dairy,BEEF SHORTHORN X,F,Birth Application,5
2015,January  ,Scotland,Scotland,Inverness,Non Dairy,BEEF SHORTHORN X,F,Birth Application,1
2015,January  ,Scotland,Scotland,Orkney,Non Dairy,BEEF SHORTHORN X,M,Birth Application,13
2015,January  ,Scotland,Scotland,Argyll,Non Dairy,BEEF SHORTHORN X,M,Birth Application,5
2015,January  ,Scotland,Scotland,Caithness,Non Dairy,BEEF SHORTHORN X,M,Birth Application,1
2015,January  ,Scotland,Scotland,Orkney,Non Dairy,BEEF SHORTHORN X,F,Birth Application,11
2015,January  ,Scotland,Scotland,Kirkcudbright,Non Dairy,BEEF SHORTHORN X,M,Birth Application,5
2015,January  ,Scotland,Scotland,Mid Lothian,Non Dairy,BEEF SHORTHORN X,M,Birth Application,1
2015,January  ,Scotland,Scotland,Lanark,Non Dairy,BEEF SHORTHORN X,F,Birth Application,5
2015,January  ,Scotland,Scotland,Moray,Non Dairy,BEEF SHORTHORN X,M,Birth Application,3
2015,January  ,Scotland,Scotland,Ayr,Non Dairy,BEEF SHORTHORN X,F,Birth Application,8
2015,January  ,Scotland,Scotland,Lanark,Non Dairy,BEEF SHORTHORN X,M,Birth Application,9
2015,January  ,Scotland,Scotland,Wigtown,Non Dairy,BEEF SHORTHORN X,F,Birth Application,2
2015,January  ,Scotland,Scotland,Wigtown,Non Dairy,BEEF SHORTHORN X,M,Birth Application,1
2015,January  ,Scotland,Scotland,Perth,Non Dairy,BEEF SHORTHORN X,F,Birth Application,5
2015,January  ,Scotland,Scotland,Perth,Non Dairy,BEEF SHORTHORN X,M,Birth Application,5
2015,January  ,Scotland,Scotland,Caithness,Non Dairy,BEEF SHORTHORN X,F,Birth Application,1
2015,January  ,Scotland,Scotland,Kirkcudbright,Non Dairy,BEEF SHORTHORN X,F,Birth Application,6
2015,January  ,Scotland,Scotland,Dumfries,Non Dairy,BEEF SHORTHORN X,F,Birth Application,1
2015,January  ,Scotland,Scotland,Ross and Cromarty,Non Dairy,BEEF SHORTHORN X,F,Birth Application,5
2015,January  ,Scotland,Scotland,Ayr,Non Dairy,BEEF SHORTHORN X,M,Birth Application,9
2015,January  ,Scotland,Scotland,Mid Lothian,Non Dairy,BEEF SHORTHORN X,F,Birth Application,1
2015,January  ,Scotland,Scotland,Aberdeen,Non Dairy,BEEF SHORTHORN X,M,Birth Application,4
2015,January  ,Scotland,Scotland,Fife,Non Dairy,BEEF SHORTHORN X,F,Birth Application,2
2015,January  ,Scotland,Scotland,Angus,Non Dairy,BEEF SHORTHORN X,M,Birth Application,2
2015,January  ,Scotland,Scotland,Banff,Non Dairy,BEEF SHORTHORN X,F,Birth Application,2
2015,January  ,Scotland,Scotland,Argyll,Non Dairy,BEEF SHORTHORN X,F,Birth Application,3
2015,January  ,Scotland,Scotland,Clackmannan,Non Dairy,BEEF SHORTHORN X,F,Birth Application,2
2015,January  ,Scotland,Scotland,Dumfries,Non Dairy,BEEF SHORTHORN X,M,Birth Application,2
2015,January  ,Scotland,Scotland,Selkirk,Non Dairy,BEEF SHORTHORN X,F,Birth Application,1
2015,January  ,Scotland,Scotland,Kincardine,Non Dairy,BELTED GALLOWAY,M,Birth Application,1
2015,January  ,Scotland,Scotland,Kirkcudbright,Non Dairy,BELTED GALLOWAY,M,Birth Application,4
2015,January  ,Scotland,Scotland,West Lothian,Non Dairy,BELTED GALLOWAY,M,Birth Application,1
2015,January  ,Scotland,Scotland,Nairn,Non Dairy,BELTED GALLOWAY,F,Birth Application,1
2015,January  ,Scotland,Scotland,Kincardine,Non Dairy,BELTED GALLOWAY,F,Birth Application,4
2015,January  ,Scotland,Scotland,Dumfries,Non Dairy,BELTED GALLOWAY,F,Birth Application,1
2015,January  ,Scotland,Scotland,Dumfries,Non Dairy,BELTED GALLOWAY,M,Birth Application,6
2015,January  ,Scotland,Scotland,Wigtown,Non Dairy,BELTED GALLOWAY,F,Birth Application,1
2015,January  ,Scotland,Scotland,Roxburgh,Non Dairy,BELTED GALLOWAY,M,Birth Application,1
